epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,8371.26,0.86752,0.47501,0.98258,0.86677,0.83066,0.86867,0.53695,1.20814,0.56051,1.14118,0.004588,0.004588,0.004588
166,8421.89,0.86431,0.47203,0.98829,0.87066,0.82998,0.86902,0.53702,1.20881,0.56028,1.14137,0.004555,0.004555,0.004555
167,8472.37,0.86917,0.47318,0.98852,0.87121,0.82883,0.86909,0.53638,1.20958,0.56013,1.14156,0.004522,0.004522,0.004522
168,8523.05,0.86155,0.46965,0.98661,0.87132,0.8296,0.86978,0.53685,1.20949,0.56035,1.14181,0.004489,0.004489,0.004489
169,8573.41,0.85637,0.46261,0.98037,0.87113,0.82916,0.86917,0.53692,1.20964,0.55996,1.14203,0.004456,0.004456,0.004456
170,8624.24,0.86177,0.46879,0.98296,0.87092,0.82854,0.86931,0.53692,1.20963,0.56008,1.14202,0.004423,0.004423,0.004423
171,8674.88,0.86421,0.46862,0.98899,0.8714,0.82846,0.86896,0.53694,1.21027,0.55892,1.14268,0.00439,0.00439,0.00439
172,8725.39,0.8501,0.46413,0.98262,0.87243,0.82876,0.86917,0.53707,1.21023,0.55894,1.14265,0.004357,0.004357,0.004357
173,8775.91,0.85243,0.46481,0.99009,0.87219,0.82846,0.86945,0.53741,1.21017,0.55727,1.14268,0.004324,0.004324,0.004324
174,8826.49,0.8487,0.46066,0.98404,0.87212,0.82761,0.86981,0.53763,1.21008,0.55744,1.14285,0.004291,0.004291,0.004291
175,8877.31,0.84997,0.46025,0.98354,0.87182,0.82968,0.86963,0.53746,1.2097,0.55691,1.14293,0.004258,0.004258,0.004258
176,8927.87,0.84825,0.46144,0.9783,0.87169,0.82899,0.86921,0.53776,1.20959,0.55657,1.14267,0.004225,0.004225,0.004225
177,8978.62,0.84922,0.45944,0.98334,0.86857,0.8315,0.8692,0.53812,1.20946,0.55709,1.14222,0.004192,0.004192,0.004192
178,9029.01,0.8408,0.45186,0.97519,0.86799,0.83086,0.86902,0.53837,1.20951,0.55687,1.14222,0.004159,0.004159,0.004159
179,9079.86,0.82834,0.45219,0.97616,0.86869,0.83146,0.8692,0.53848,1.21006,0.55716,1.14248,0.004126,0.004126,0.004126
180,9130.65,0.82584,0.44658,0.97918,0.86836,0.83146,0.86864,0.53811,1.20982,0.55698,1.14239,0.004093,0.004093,0.004093
181,9181.42,0.82624,0.45482,0.97537,0.86793,0.83084,0.86859,0.53812,1.20968,0.55739,1.14214,0.00406,0.00406,0.00406
182,9232.23,0.8229,0.45254,0.97596,0.86543,0.83516,0.86894,0.53836,1.20955,0.5572,1.14226,0.004027,0.004027,0.004027
183,9282.9,0.82703,0.44687,0.97015,0.86529,0.83392,0.86793,0.53851,1.20964,0.55753,1.14235,0.003994,0.003994,0.003994
184,9333.32,0.82254,0.44557,0.9662,0.86466,0.83292,0.86795,0.53844,1.20991,0.55708,1.14229,0.003961,0.003961,0.003961
185,9384.01,0.82712,0.44807,0.96976,0.86405,0.83348,0.8683,0.53865,1.21003,0.55689,1.14219,0.003928,0.003928,0.003928
186,9435,0.82754,0.447,0.97109,0.8599,0.83702,0.86782,0.53882,1.20955,0.557,1.14205,0.003895,0.003895,0.003895
